"content_id","content_state","category_id","category_path","tag_id","tag_path","content_created_by_user_id","content_created_by_user_username","content_modified_by_user_id","content_created_by_alias","content_created_date","content_modified_date","content_hits","content_alias"
1,1,21,sample-data-articles/joomla/extensions/components,,,42,,0,Joomla,2011-01-01 00:00:01,,0,administrator-components
2,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,archive-module
3,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,article-categories-module
4,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,articles-category-module
5,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,authentication
6,1,26,sample-data-articles/park-site,,,42,,0,Joomla,2011-01-01 00:00:01,,0,australian-parks
7,1,66,sample-data-articles/joomla/extensions/modules/display-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,banner-module
8,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,beginners
9,1,21,sample-data-articles/joomla/extensions/components,,,42,,0,Joomla,2011-01-01 00:00:01,,0,contact
10,1,21,sample-data-articles/joomla/extensions/components,,,42,,0,Joomla,2011-01-01 00:00:01,,1,content
11,1,73,sample-data-articles/park-site/photo-gallery/scenery,,,42,,0,Joomla,2011-01-01 00:00:01,,0,cradle-mountain
12,1,66,sample-data-articles/joomla/extensions/modules/display-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,custom-module
13,1,29,sample-data-articles/fruit-shop-site,,,42,,0,Joomla,2011-01-01 00:00:01,,0,directions
14,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,editors
15,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,editors-xtd
16,1,66,sample-data-articles/joomla/extensions/modules/display-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,feed-display
17,1,27,sample-data-articles/park-site/park-blog,,,42,,0,Joomla,2011-01-01 00:00:01,,0,first-blog-post
18,1,27,sample-data-articles/park-site/park-blog,,,42,,0,Joomla,2011-01-01 00:00:01,,0,second-blog-post
19,1,66,sample-data-articles/joomla/extensions/modules/display-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,footer-module
20,1,29,sample-data-articles/fruit-shop-site,,,42,,0,Joomla,2011-01-01 00:00:01,,0,fruit-shop
21,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,getting-help
22,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,getting-started
23,1,30,sample-data-articles/fruit-shop-site/growers,,,42,,0,Joomla,2011-01-01 00:00:01,,0,happy-orange-orchard
24,1,19,sample-data-articles/joomla,"2",red,716,,716,Joomla,2011-01-01 00:00:01,2013-10-15 14:57:20,74,joomla
25,1,72,sample-data-articles/park-site/photo-gallery/animals,,,42,,0,Joomla,2011-01-01 00:00:01,,0,koala
26,1,67,sample-data-articles/joomla/extensions/modules/utility-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,language-switcher
27,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,latest-articles-module
28,1,65,sample-data-articles/joomla/extensions/modules/user-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,2,login-module
29,1,75,sample-data-articles/joomla/extensions/modules/navigation-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,menu-module
30,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,most-read-content
